iter	Passed	Remaining
411	3245	3056
412	3250	3045
413	3255	3035
414	3260	3024
415	3267	3015
416	3272	3005
417	3278	2995
418	3282	2985
419	3287	2974
420	3294	2965
421	3300	2956
422	3306	2947
423	3313	2938
424	3320	2929
425	3325	2919
426	3330	2909
427	3336	2899
428	3341	2890
429	3347	2880
430	3353	2870
431	3358	2861
432	3364	2851
433	3369	2841
434	3375	2832
435	3380	2822
436	3386	2813
437	3393	2804
438	3399	2795
439	3404	2785
440	3410	2775
441	3415	2766
442	3423	2759
443	3429	2749
444	3435	2740
445	3441	2731
446	3446	2722
447	3451	2712
448	3456	2702
449	3461	2692
450	3467	2682
451	3472	2673
452	3478	2664
453	3484	2655
454	3490	2646
455	3495	2637
456	3501	2628
457	3506	2618
458	3511	2609
459	3517	2600
460	3524	2591
461	3530	2582
462	3535	2573
463	3543	2565
464	3550	2557
465	3555	2548
466	3560	2539
467	3566	2530
468	3572	2521
469	3579	2513
470	3585	2504
471	3592	2496
472	3598	2488
473	3604	2478
474	3609	2469
475	3614	2460
476	3620	2451
477	3625	2442
478	3631	2433
479	3636	2424
480	3640	2414
481	3646	2406
482	3653	2398
483	3661	2390
484	3669	2383
485	3685	2380
486	3694	2374
487	3700	2365
488	3706	2357
489	3713	2349
490	3719	2341
491	3749	2347
492	3758	2340
493	3769	2335
494	3778	2328
495	3789	2322
496	3809	2322
497	3815	2314
498	3823	2306
499	3833	2300
500	3850	2298
501	3885	2306
502	3891	2297
503	3897	2289
504	3903	2280
505	3909	2271
506	3915	2263
507	3924	2255
508	3931	2247
509	3939	2240
510	3977	2249
511	3982	2240
512	3992	2233
513	4000	2225
514	4007	2217
515	4013	2208
516	4021	2201
517	4036	2197
518	4042	2188
519	4048	2180
520	4056	2172
521	4061	2163
522	4084	2163
523	4092	2155
524	4100	2148
525	4119	2146
526	4125	2137
527	4147	2136
528	4158	2130
529	4165	2121
530	4174	2114
531	4181	2106
532	4196	2101
533	4202	2093
534	4208	2084
535	4213	2075
536	4218	2066
537	4230	2060
538	4238	2052
539	4243	2043
540	4250	2034
541	4255	2025
542	4273	2022
543	4280	2014
544	4286	2005
545	4292	1996
546	4300	1988
547	4358	2004
548	4405	2014
549	4417	2007
550	4423	1998
551	4484	2014
552	4540	2027
553	4547	2019
554	4562	2013
555	4568	2004
556	4575	1996
557	4581	1987
558	4624	1993
559	4630	1984
560	4636	1975
561	4641	1965
562	4647	1956
563	4706	1969
564	4711	1959
565	4717	1950
566	4725	1942
567	4732	1932
568	4738	1923
569	4786	1931
570	4795	1923
571	4801	1914
572	4809	1905
573	4817	1896
574	4852	1898
575	4865	1892
576	4885	1888
577	4891	1878
578	4898	1869
579	4959	1881
580	4965	1871
581	4972	1862
582	4978	1853
583	4984	1843
584	4993	1835
585	5033	1838
586	5040	1828
587	5045	1819
588	5060	1812
589	5072	1805
590	5087	1799
591	5092	1789
592	5098	1779
593	5115	1773
594	5121	1764
595	5140	1759
596	5146	1750
597	5189	1752
598	5195	1743
599	5203	1734
600	5209	1724
601	5239	1723
602	5246	1714
603	5252	1704
604	5287	1704
605	5301	1697
606	5306	1687
607	5381	1699
608	5387	1689
609	5393	1680
610	5400	1670
611	5405	1660
612	5412	1650
613	5433	1645
614	5440	1636
615	5448	1627
616	5456	1618
617	5462	1608
618	5469	1599
619	5477	1590
620	5484	1580
621	5491	1571
622	5498	1562
623	5507	1553
624	5515	1544
625	5525	1535
626	5531	1526
627	5539	1517
628	5546	1507
629	5551	1498
630	5557	1488
631	5562	1478
632	5567	1468
633	5576	1459
634	5582	1450
635	5589	1441
636	5596	1432
637	5603	1422
638	5609	1413
639	5614	1403
640	5621	1394
641	5627	1384
642	5642	1377
643	5653	1369
644	5661	1360
645	5669	1351
646	5680	1343
647	5690	1334
648	5697	1325
649	5703	1316
650	5710	1306
651	5717	1297
652	5725	1288
653	5731	1279
654	5737	1270
655	5743	1260
656	5750	1251
657	5761	1243
658	5768	1234
659	5776	1225
660	5785	1216
661	5793	1207
662	5799	1198
663	5809	1189
664	5817	1181
665	5828	1172
666	5836	1163
667	5845	1155
668	5896	1154
669	5902	1145
670	5909	1136
671	5916	1126
672	5980	1128
673	5993	1120
674	5999	1110
675	6008	1102
676	6014	1092
677	6020	1083
678	6077	1082
679	6083	1073
680	6089	1064
681	6096	1054
682	6123	1049
683	6147	1042
684	6158	1033
685	6164	1024
686	6173	1015
687	6179	1005
688	6229	1003
689	6236	994
690	6241	984
691	6250	975
692	6257	966
693	6289	960
694	6299	951
695	6323	944
696	6332	935
697	6466	944
698	6472	935
699	6479	925
700	6490	916
701	6499	907
702	6531	901
703	6560	894
704	6566	884
705	6576	875
706	6582	865
707	6588	856
708	6595	846
709	6605	837
710	6614	828
711	6625	818
712	6635	809
713	6650	800
714	6662	792
715	6688	784
716	6713	777
717	6879	785
718	6885	775
719	6897	766
720	6907	756
721	6912	746
