iter	RMSE
290	0.3797529503
291	0.3796965757
292	0.3796349543
293	0.3795792694
294	0.3795264282
295	0.3794657878
296	0.3794151674
297	0.3793598705
298	0.3793029465
299	0.3792555576
300	0.3792052908
301	0.3791416443
302	0.3791000757
303	0.3790561994
304	0.3789964762
305	0.3789374718
306	0.3788993657
307	0.3788524079
308	0.3787970565
309	0.3787616051
310	0.3787178882
311	0.3786659227
312	0.3786226189
313	0.3785860217
314	0.3785373317
315	0.3784969256
316	0.3784626858
317	0.3784241987
318	0.378379316
319	0.3783428599
320	0.3783001327
321	0.3782655861
322	0.3782248935
323	0.3781938881
324	0.3781645125
325	0.3781262665
326	0.3780952661
327	0.3780677304
328	0.3780381697
329	0.3780107749
330	0.3779759469
331	0.3779484389
332	0.3779228892
333	0.3778901653
334	0.3778658556
335	0.3778407125
336	0.3778099415
337	0.3777838822
338	0.3777616336
339	0.3777327295
340	0.3777083292
341	0.3776846252
342	0.3776575453
343	0.3776349554
344	0.377609144
345	0.3775876087
346	0.3775666855
347	0.3775424588
348	0.3775225048
349	0.3774993873
350	0.3774738277
351	0.377449035
352	0.3774249847
353	0.3774066814
354	0.3773890443
355	0.3773664739
356	0.377346693
357	0.3773252197
358	0.3773043848
359	0.3772883443
360	0.3772684752
361	0.3772498041
362	0.377234786
363	0.3772177921
364	0.3771995908
365	0.3771824837
366	0.3771686997
367	0.3771553061
368	0.3771418842
369	0.3771290504
370	0.3771142539
371	0.3771020009
372	0.3770900933
373	0.3770778336
374	0.3770664184
375	0.3770546368
376	0.3770436906
377	0.3770330515
378	0.3770202422
379	0.3770100779
380	0.3769983807
381	0.3769887396
382	0.3769782454
383	0.3769673298
384	0.3769583008
385	0.3769479565
386	0.3769353722
387	0.3769231582
388	0.376911303
389	0.3769009171
390	0.3768896292
391	0.37687876
392	0.376870193
393	0.3768626424
394	0.3768543975
395	0.3768458853
396	0.3768388098
397	0.3768307407
398	0.3768240226
399	0.3768154376
400	0.3768059884
401	0.3767968442
402	0.3767897205
403	0.376782562
404	0.3767766011
405	0.3767690008
406	0.3767606026
407	0.37675245
408	0.3767461246
409	0.37673977
410	0.3767344777
411	0.3767284717
412	0.3767225291
413	0.376717563
414	0.3767102861
415	0.3767040101
416	0.3766970774
417	0.3766903459
418	0.3766851198
419	0.3766799598
420	0.3766736282
421	0.3766687151
422	0.3766645037
423	0.3766591673
424	0.3766531633
425	0.3766485732
426	0.3766429371
427	0.3766385661
428	0.3766348201
429	0.3766300868
430	0.3766248689
431	0.376619801
432	0.3766158523
433	0.3766124325
434	0.3766086263
435	0.3766039227
436	0.3765993539
437	0.3765953409
438	0.3765907674
439	0.3765873651
440	0.3765831794
441	0.3765791132
442	0.3765755223
443	0.3765716427
444	0.3765685918
445	0.3765648815
446	0.3765612764
447	0.3765584186
448	0.3765549697
449	0.3765521208
450	0.3765493623
451	0.3765458443
452	0.3765431785
453	0.3765406174
454	0.376537299
455	0.3765349101
456	0.3765324379
457	0.3765301554
458	0.3765277899
459	0.3765254897
460	0.3765224785
461	0.3765202796
462	0.376517637
463	0.3765156146
464	0.3765130947
465	0.3765110886
466	0.3765091404
467	0.3765072836
468	0.3765054035
469	0.3765028198
470	0.3765010879
471	0.3764993273
472	0.3764971636
473	0.3764954868
474	0.3764934197
475	0.3764918796
476	0.3764900917
477	0.376488151
478	0.3764864408
479	0.3764845853
480	0.3764827828
481	0.3764813532
482	0.3764796312
483	0.376478069
484	0.3764764219
485	0.3764751057
486	0.376473532
487	0.3764720782
488	0.3764705725
489	0.3764691799
490	0.3764677389
491	0.3764665666
492	0.3764651899
493	0.3764638914
494	0.3764625734
495	0.3764612926
496	0.3764602335
497	0.3764590212
498	0.3764578153
499	0.3764566433
500	0.3764556664
501	0.3764545466
502	0.3764534293
503	0.3764523565
504	0.3764514551
505	0.3764504299
506	0.3764493834
507	0.376448401
508	0.3764473961
509	0.3764464543
510	0.3764454058
511	0.3764446142
512	0.376443588
513	0.3764428279
514	0.3764418592
515	0.3764408947
516	0.3764401771
517	0.3764393553
518	0.3764386708
519	0.3764377654
520	0.3764369146
521	0.3764359697
522	0.376435331
523	0.3764347098
524	0.3764338883
525	0.3764331015
526	0.3764322981
527	0.376431447
528	0.3764307061
529	0.3764299852
530	0.3764292509
531	0.3764285214
532	0.3764278548
533	0.3764270715
534	0.3764262809
535	0.3764256398
536	0.376424883
537	0.3764243774
538	0.3764237565
539	0.376423038
540	0.3764225607
541	0.3764220966
542	0.3764214105
543	0.3764208489
544	0.376420324
545	0.376419814
546	0.376419188
547	0.3764185611
548	0.3764181462
549	0.3764177429
550	0.3764172421
551	0.3764167884
552	0.3764164097
553	0.3764158948
554	0.3764154463
555	0.376414987
556	0.3764145625
557	0.3764140394
558	0.3764136345
559	0.3764131345
560	0.3764127482
561	0.3764124128
562	0.3764120406
563	0.376411574
564	0.3764112188
565	0.3764109027
566	0.3764105482
567	0.3764102469
568	0.3764098933
569	0.3764095509
570	0.3764092244
571	0.3764089462
572	0.3764086156
573	0.3764083073
574	0.3764080422
575	0.376407631
576	0.3764073774
577	0.3764070859
578	0.3764067137
579	0.3764064353
580	0.3764061957
581	0.3764058185
582	0.3764055309
583	0.3764052725
584	0.3764050218
585	0.3764046897
586	0.3764044502
587	0.3764041326
588	0.3764039038
589	0.3764036888
590	0.3764033552
591	0.37640306
592	0.3764028455
593	0.3764026443
594	0.376402437
595	0.3764021608
596	0.3764019627
597	0.376401772
598	0.3764014731
599	0.3764012844
600	0.3764010302
601	0.3764008499
602	0.3764006721
603	0.376400394
604	0.3764001576
605	0.3763999884
606	0.3763998218
607	0.3763996582
608	0.3763994254
609	0.3763991712
610	0.3763990162
611	0.3763988657
612	0.376398657
613	0.3763985131
614	0.3763983009
615	0.3763980679
616	0.3763979233
617	0.3763976742
618	0.3763974318
619	0.3763972169
620	0.3763970829
621	0.3763969527
622	0.3763968262
623	0.3763966007
624	0.3763964025
625	0.3763962833
626	0.3763961675
627	0.3763960549
628	0.376395845
629	0.3763956618
630	0.3763955557
631	0.3763954526
632	0.3763952554
633	0.3763950843
634	0.3763949872
635	0.3763948927
636	0.3763948008
637	0.3763946168
638	0.3763944584
639	0.3763943718
640	0.3763942876
641	0.3763941145
642	0.3763939663
643	0.3763938494
644	0.3763937712
645	0.3763936596
646	0.3763935519
647	0.3763934781
648	0.3763933753
649	0.3763933046
650	0.3763932064
651	0.3763931115
652	0.3763930447
653	0.3763929541
654	0.3763928901
655	0.3763928277
656	0.3763927671
657	0.376392707
658	0.3763926491
659	0.376392526
660	0.3763924694
661	0.376392415
662	0.376392327
663	0.3763922485
664	0.3763921965
665	0.3763921123
666	0.3763920306
667	0.3763919574
668	0.3763918868
669	0.3763918379
670	0.3763917605
671	0.3763916853
672	0.3763916193
673	0.3763915557
674	0.3763915096
675	0.3763914382
676	0.376391378
677	0.3763913338
678	0.3763912653
679	0.3763911988
680	0.3763911424
681	0.3763910929
682	0.3763910514
683	0.3763909882
684	0.3763909356
685	0.3763908957
686	0.3763908349
687	0.376390776
688	0.3763907266
689	0.3763906835
690	0.3763906458
691	0.3763905896
692	0.3763904988
693	0.3763904627
694	0.3763903747
695	0.3763902891
696	0.3763902057
697	0.3763901192
698	0.3763900354
699	0.3763899571
700	0.3763898773
701	0.3763898025
702	0.3763897266
703	0.3763896973
704	0.3763896261
705	0.3763895546
706	0.3763894865
707	0.3763894185
708	0.3763893534
709	0.3763892886
710	0.3763892259
711	0.3763891646
712	0.3763891143
713	0.3763890658
714	0.3763890088
715	0.3763889633
716	0.3763889194
717	0.3763888772
718	0.3763888427
719	0.3763888094
720	0.3763887561
721	0.3763887043
722	0.3763886539
723	0.3763886234
724	0.3763885937
725	0.376388565
726	0.376388537
727	0.3763884905
728	0.3763884637
729	0.376388419
730	0.3763883809
731	0.376388344
732	0.3763883084
733	0.3763882835
734	0.3763882493
735	0.3763882162
736	0.3763881842
737	0.3763881607
738	0.37638813
739	0.3763881002
740	0.3763880714
741	0.3763880377
742	0.3763880159
743	0.3763879887
744	0.3763879569
745	0.3763879362
746	0.3763879107
747	0.3763878908
748	0.3763878662
749	0.3763878368
750	0.376387818
751	0.3763877948
752	0.376387767
753	0.376387737
754	0.3763877195
755	0.376387698
756	0.3763876772
757	0.3763876518
758	0.3763876242
759	0.3763876081
760	0.3763875888
761	0.3763875653
762	0.3763875396
763	0.3763875247
764	0.3763875067
765	0.3763874923
766	0.376387475
767	0.3763874516
768	0.3763874309
769	0.3763874174
770	0.3763874014
771	0.3763873797
772	0.3763873669
773	0.3763873518
774	0.3763873312
775	0.376387313
776	0.3763872998
777	0.376387288
778	0.3763872741
779	0.3763872552
780	0.3763872428
781	0.3763872261
782	0.3763872151
783	0.3763872024
